METODO; GRAD; HESS; SISTLIN
0.2211; 0.2085; 0.2175; 0.2327
0.2225; 0.2148; 0.2161; 0.2100
0.2458; 0.2269; 0.2578; 0.2396
0.2295; 0.2191; 0.2394; 0.2083
0.2301; 0.2219; 0.2539; 0.1900
0.2601; 0.2351; 0.2787; 0.2358
0.3105; 0.2382; 0.2873; 0.3321
0.3251; 0.2436; 0.2774; 0.3633
0.3337; 0.2414; 0.2793; 0.3777
0.3360; 0.2487; 0.2719; 0.3864
0.3361; 0.2675; 0.2688; 0.3866
0.3283; 0.2468; 0.2631; 0.3761
0.3188; 0.2629; 0.2589; 0.3612
0.2962; 0.2623; 0.2538; 0.3230
0.2954; 0.2458; 0.2533; 0.3221
0.2864; 0.2809; 0.2519; 0.3064
0.2841; 0.2541; 0.2520; 0.3024
0.2471; 0.2605; 0.2516; 0.2449
0.2470; 0.2827; 0.2515; 0.2449
