CPU_CLK_UNHALTED_REF,FIXC2,444400
PWR_PKG_ENERGY,PWR0,0.0475
PWR_DRAM_ENERGY,PWR3,0.0057
UNCORE_CLOCK,UBOXFIX,53186
TABLE,Region Tderi_grad_Inexato_10,Group 1 Metric,CLOCK,9
Metric,HWThread 3,
Runtime (RDTSC) [s],4.654871e-05,
Runtime unhalted [s],0.0002,
Clock [MHz],2409.4770,
Uncore Clock [MHz],1142.5881,
CPI,1.4096,
Energy [J],0.0475,
Power [W],1020.1217,
Energy DRAM [J],0.0057,
Power DRAM [W],121.9426,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i3-7100U CPU @ 2.40GHz,
CPU type:,Intel Kabylake processor,
CPU clock:,2.399385977 GHz,
TABLE,Region Tderi_hes_Inexato_10,Group 1 Raw,CLOCK,6
Region Info,HWThread 3,
RDTSC Runtime [s],0.000409,
call count,50,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,1375416
CPU_CLK_UNHALTED_CORE,FIXC1,1313622
CPU_CLK_UNHALTED_REF,FIXC2,1318500
PWR_PKG_ENERGY,PWR0,0.0469
PWR_DRAM_ENERGY,PWR3,0.0051
UNCORE_CLOCK,UBOXFIX,50150
TABLE,Region Tderi_hes_Inexato_10,Group 1 Metric,CLOCK,9
Metric,HWThread 3,
Runtime (RDTSC) [s],0.0004,
Runtime unhalted [s],0.0005,
Clock [MHz],2390.5091,
Uncore Clock [MHz],122.6415,
CPI,0.9551,
Energy [J],0.0469,
Power [W],114.6325,
Energy DRAM [J],0.0051,
Power DRAM [W],12.3887,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i3-7100U CPU @ 2.40GHz,
CPU type:,Intel Kabylake processor,
CPU clock:,2.399385977 GHz,
TABLE,Region T_Sist_Lin_Inexato_10,Group 1 Raw,CLOCK,6
Region Info,HWThread 3,
RDTSC Runtime [s],0.000043,
call count,50,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,320291
CPU_CLK_UNHALTED_CORE,FIXC1,433983
CPU_CLK_UNHALTED_REF,FIXC2,436400
PWR_PKG_ENERGY,PWR0,0.0421
PWR_DRAM_ENERGY,PWR3,0.0050
UNCORE_CLOCK,UBOXFIX,53186
TABLE,Region T_Sist_Lin_Inexato_10,Group 1 Metric,CLOCK,9
Metric,HWThread 3,
Runtime (RDTSC) [s],4.251991e-05,
Runtime unhalted [s],0.0002,
Clock [MHz],2386.0970,
Uncore Clock [MHz],1250.8493,
CPI,1.3550,
Energy [J],0.0421,
Power [W],989.0242,
Energy DRAM [J],0.0050,
Power DRAM [W],117.7068,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i3-7100U CPU @ 2.40GHz,
CPU type:,Intel Kabylake processor,
CPU clock:,2.399385977 GHz,
TABLE,Region T_Newton_Padrao_32,Group 1 Raw,CLOCK,6
Region Info,HWThread 3,
RDTSC Runtime [s],0.064811,
call count,1,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,16650120
CPU_CLK_UNHALTED_CORE,FIXC1,14336090
CPU_CLK_UNHALTED_REF,FIXC2,14374100
PWR_PKG_ENERGY,PWR0,0.3482
PWR_DRAM_ENERGY,PWR3,0.0522
UNCORE_CLOCK,UBOXFIX,466645
TABLE,Region T_Newton_Padrao_32,Group 1 Metric,CLOCK,9
Metric,HWThread 3,
Runtime (RDTSC) [s],0.0648,
Runtime unhalted [s],0.0060,
Clock [MHz],2393.0412,
Uncore Clock [MHz],7.2000,
CPI,0.8610,
Energy [J],0.3482,
Power [W],5.3726,
Energy DRAM [J],0.0522,
Power DRAM [W],0.8052,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i3-7100U CPU @ 2.40GHz,
CPU type:,Intel Kabylake processor,
CPU clock:,2.399385977 GHz,
TABLE,Region Tderi_grad_Padrao_32,Group 1 Raw,CLOCK,6
Region Info,HWThread 3,
RDTSC Runtime [s],0.000141,
call count,50,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,575560
CPU_CLK_UNHALTED_CORE,FIXC1,806650
CPU_CLK_UNHALTED_REF,FIXC2,810700
PWR_PKG_ENERGY,PWR0,0.0506
PWR_DRAM_ENERGY,PWR3,0.0049
UNCORE_CLOCK,UBOXFIX,103457
TABLE,Region Tderi_grad_Padrao_32,Group 1 Metric,CLOCK,9
Metric,HWThread 3,
Runtime (RDTSC) [s],0.0001,
Runtime unhalted [s],0.0003,
Clock [MHz],2387.3994,
Uncore Clock [MHz],732.3327,
CPI,1.4015,
Energy [J],0.0506,
Power [W],358.1649,
Energy DRAM [J],0.0049,
Power DRAM [W],34.5636,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i3-7100U CPU @ 2.40GHz,
CPU type:,Intel Kabylake processor,
CPU clock:,2.399385977 GHz,
TABLE,Region Tderi_hes_padrao_32,Group 1 Raw,CLOCK,6
Region Info,HWThread 3,
RDTSC Runtime [s],0.004388,
call count,50,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,12230030
CPU_CLK_UNHALTED_CORE,FIXC1,10616470
CPU_CLK_UNHALTED_REF,FIXC2,10641100
PWR_PKG_ENERGY,PWR0,0.0851
PWR_DRAM_ENERGY,PWR3,0.0129
UNCORE_CLOCK,UBOXFIX,102223
TABLE,Region Tderi_hes_padrao_32,Group 1 Metric,CLOCK,9
Metric,HWThread 3,
Runtime (RDTSC) [s],0.0044,
Runtime unhalted [s],0.0044,
Clock [MHz],2393.8323,
Uncore Clock [MHz],23.2958,
CPI,0.8681,
Energy [J],0.0851,
Power [W],19.3897,
Energy DRAM [J],0.0129,
Power DRAM [W],2.9349,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i3-7100U CPU @ 2.40GHz,
CPU type:,Intel Kabylake processor,
CPU clock:,2.399385977 GHz,
TABLE,Region T_Sist_Lin_Padrao_32,Group 1 Raw,CLOCK,6
Region Info,HWThread 3,
RDTSC Runtime [s],0.000440,
call count,50,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,2988290
CPU_CLK_UNHALTED_CORE,FIXC1,1468778
CPU_CLK_UNHALTED_REF,FIXC2,1472300
PWR_PKG_ENERGY,PWR0,0.0411
PWR_DRAM_ENERGY,PWR3,0.0050
UNCORE_CLOCK,UBOXFIX,65111
TABLE,Region T_Sist_Lin_Padrao_32,Group 1 Metric,CLOCK,9
Metric,HWThread 3,
Runtime (RDTSC) [s],0.0004,
Runtime unhalted [s],0.0006,
Clock [MHz],2393.6462,
Uncore Clock [MHz],147.8300,
CPI,0.4915,
Energy [J],0.0411,
Power [W],93.2617,
Energy DRAM [J],0.0050,
Power DRAM [W],11.3632,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i3-7100U CPU @ 2.40GHz,
CPU type:,Intel Kabylake processor,
CPU clock:,2.399385977 GHz,
TABLE,Region T_Newton_Inexato_32,Group 1 Raw,CLOCK,6
Region Info,HWThread 3,
RDTSC Runtime [s],0.061787,
call count,1,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,14331000
CPU_CLK_UNHALTED_CORE,FIXC1,13145140
CPU_CLK_UNHALTED_REF,FIXC2,13173500
PWR_PKG_ENERGY,PWR0,0.3090
PWR_DRAM_ENERGY,PWR3,0.0408
UNCORE_CLOCK,UBOXFIX,378139
TABLE,Region T_Newton_Inexato_32,Group 1 Metric,CLOCK,9
Metric,HWThread 3,
Runtime (RDTSC) [s],0.0618,
Runtime unhalted [s],0.0055,
Clock [MHz],2394.2206,
Uncore Clock [MHz],6.1200,
CPI,0.9173,
Energy [J],0.3090,
Power [W],5.0004,
Energy DRAM [J],0.0408,
Power DRAM [W],0.6609,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i3-7100U CPU @ 2.40GHz,
CPU type:,Intel Kabylake processor,
CPU clock:,2.399385977 GHz,
TABLE,Region Tderi_grad_Inexato_32,Group 1 Raw,CLOCK,6
Region Info,HWThread 3,
RDTSC Runtime [s],0.000141,
call count,50,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,574037
CPU_CLK_UNHALTED_CORE,FIXC1,730574
CPU_CLK_UNHALTED_REF,FIXC2,728800
PWR_PKG_ENERGY,PWR0,0.0564
PWR_DRAM_ENERGY,PWR3,0.0085
UNCORE_CLOCK,UBOXFIX,57963
TABLE,Region Tderi_grad_Inexato_32,Group 1 Metric,CLOCK,9
Metric,HWThread 3,
Runtime (RDTSC) [s],0.0001,
Runtime unhalted [s],0.0003,
Clock [MHz],2405.2264,
Uncore Clock [MHz],410.5086,
CPI,1.2727,
Energy [J],0.0564,
Power [W],399.4142,
Energy DRAM [J],0.0085,
Power DRAM [W],60.5173,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i3-7100U CPU @ 2.40GHz,
CPU type:,Intel Kabylake processor,
CPU clock:,2.399385977 GHz,
TABLE,Region Tderi_hes_Inexato_32,Group 1 Raw,CLOCK,6
Region Info,HWThread 3,
RDTSC Runtime [s],0.004181,
call count,50,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,12230900
CPU_CLK_UNHALTED_CORE,FIXC1,10377940
CPU_CLK_UNHALTED_REF,FIXC2,10403700
PWR_PKG_ENERGY,PWR0,0.0619
PWR_DRAM_ENERGY,PWR3,0.0092
UNCORE_CLOCK,UBOXFIX,122372
TABLE,Region Tderi_hes_Inexato_32,Group 1 Metric,CLOCK,9
Metric,HWThread 3,
Runtime (RDTSC) [s],0.0042,
Runtime unhalted [s],0.0043,
Clock [MHz],2393.4450,
Uncore Clock [MHz],29.2697,
CPI,0.8485,
Energy [J],0.0619,
Power [W],14.8032,
Energy DRAM [J],0.0092,
Power DRAM [W],2.1898,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i3-7100U CPU @ 2.40GHz,
CPU type:,Intel Kabylake processor,
CPU clock:,2.399385977 GHz,
TABLE,Region T_Sist_Lin_Inexato_32,Group 1 Raw,CLOCK,6
Region Info,HWThread 3,
RDTSC Runtime [s],0.000199,
call count,50,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,687590
CPU_CLK_UNHALTED_CORE,FIXC1,848072
CPU_CLK_UNHALTED_REF,FIXC2,848500
PWR_PKG_ENERGY,PWR0,0.0566
PWR_DRAM_ENERGY,PWR3,0.0083
UNCORE_CLOCK,UBOXFIX,63333
TABLE,Region T_Sist_Lin_Inexato_32,Group 1 Metric,CLOCK,9
Metric,HWThread 3,
Runtime (RDTSC) [s],0.0002,
Runtime unhalted [s],0.0004,
Clock [MHz],2398.1757,
Uncore Clock [MHz],318.9609,
CPI,1.2334,
Energy [J],0.0566,
Power [W],284.9490,
Energy DRAM [J],0.0083,
Power DRAM [W],41.8048,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i3-7100U CPU @ 2.40GHz,
CPU type:,Intel Kabylake processor,
CPU clock:,2.399385977 GHz,
TABLE,Region T_Newton_Padrao_50,Group 1 Raw,CLOCK,6
Region Info,HWThread 3,
RDTSC Runtime [s],0.070484,
call count,1,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,39339210
CPU_CLK_UNHALTED_CORE,FIXC1,30546250
CPU_CLK_UNHALTED_REF,FIXC2,30620400
PWR_PKG_ENERGY,PWR0,0.3727
PWR_DRAM_ENERGY,PWR3,0.0537
UNCORE_CLOCK,UBOXFIX,475486
TABLE,Region T_Newton_Padrao_50,Group 1 Metric,CLOCK,9
Metric,HWThread 3,
Runtime (RDTSC) [s],0.0705,
Runtime unhalted [s],0.0127,
Clock [MHz],2393.5757,
Uncore Clock [MHz],6.7460,
CPI,0.7765,
Energy [J],0.3727,
Power [W],5.2883,
Energy DRAM [J],0.0537,
Power DRAM [W],0.7620,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i3-7100U CPU @ 2.40GHz,
CPU type:,Intel Kabylake processor,
CPU clock:,2.399385977 GHz,
TABLE,Region Tderi_grad_Padrao_50,Group 1 Raw,CLOCK,6
Region Info,HWThread 3,
RDTSC Runtime [s],0.000216,
call count,50,
