METODO; GRAD; HESS; SISTLIN
100.8361; 11681.8821; 1302.0802; 15424.7222
184.8693; 8342.6717; 473.6099; 3643.0919
220.0368; 5550.6867; 260.3210; 2031.8177
328.7576; 8149.6130; 361.4804; 1918.5369
230.0287; 2903.4106; 173.3477; 881.8857
512.3515; 3792.6674; 207.8843; 2327.7954
4611.1934; 1448.9761; 155.3305; 21333.9228
7774.3714; 1112.6623; 161.0145; 29365.1304
8566.1472; 1298.3850; 161.7041; 31748.6946
12023.9255; 1054.2296; 166.6967; 38656.8591
16392.6381; 854.2699; 174.5354; 42118.2485
19491.2195; 768.4645; 180.2373; 42509.4659
20138.0996; 803.8086; 176.9549; 38235.4719
19151.5695; 605.1183; 185.0384; 26040.8262
17619.8967; 642.0535; 179.1484; 23146.2576
16404.2072; 483.4433; 183.2955; 18525.5250
16551.7976; 426.0693; 185.1993; 18662.2385
16835.7383; 378.0582; 184.7344; 18297.3397
17407.9058; 329.0053; 190.5769; 18536.7484
