METODO; GRAD; HESS; SISTLIN
149.8461; 18300.9244; 2151.5695; 26889.6206
194.0214; 7941.1439; 408.4884; 4109.6185
218.4764; 5007.0046; 263.0680; 2165.1746
204.4091; 3923.0250; 200.9103; 1490.0299
219.5443; 2569.1015; 158.9761; 904.7225
313.8743; 2021.3396; 144.0035; 1520.5638
4411.1911; 1544.6463; 152.5630; 21084.5195
8508.2718; 1341.5489; 160.0778; 32364.2610
9822.2561; 1180.8795; 160.3500; 35965.2163
12313.3296; 1098.6211; 162.7922; 40320.1993
16810.1594; 879.2735; 171.6142; 43937.6931
19307.7183; 756.4431; 179.9575; 41832.0244
21230.8992; 735.3393; 179.9893; 41729.5617
19714.7309; 620.5270; 186.8110; 26958.2703
19620.3647; 607.8099; 185.8715; 26779.1239
16963.4188; 479.0630; 188.4430; 19203.5558
17321.5790; 452.7748; 188.2861; 19652.4635
16507.5450; 377.9200; 187.6676; 17887.6657
16804.9906; 351.3426; 188.4342; 17851.3285
