CPU name:,Intel(R) Core(TM) i3-7100U CPU @ 2.40GHz,
CPU type:,Intel Kabylake processor,
CPU clock:,2.399170351 GHz,
TABLE,Region Tderi_hes_Inexato_10,Group 1 Raw,L2CACHE,5
Region Info,HWThread 3,
RDTSC Runtime [s],0.000406,
call count,50,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,1349774
CPU_CLK_UNHALTED_CORE,FIXC1,1313771
CPU_CLK_UNHALTED_REF,FIXC2,1316400
L2_TRANS_ALL_REQUESTS,PMC0,63464
L2_RQSTS_MISS,PMC1,14959
TABLE,Region Tderi_hes_Inexato_10,Group 1 Metric,L2CACHE,7
Metric,HWThread 3,
Runtime (RDTSC) [s],0.0004,
Runtime unhalted [s],0.0005,
Clock [MHz],2394.3789,
CPI,0.9733,
L2 request rate,0.0470,
L2 miss rate,0.0111,
L2 miss ratio,0.2357,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i3-7100U CPU @ 2.40GHz,
CPU type:,Intel Kabylake processor,
CPU clock:,2.399170351 GHz,
TABLE,Region T_Sist_Lin_Inexato_10,Group 1 Raw,L2CACHE,5
Region Info,HWThread 3,
RDTSC Runtime [s],0.000046,
call count,50,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,302641
CPU_CLK_UNHALTED_CORE,FIXC1,454433
CPU_CLK_UNHALTED_REF,FIXC2,457700
L2_TRANS_ALL_REQUESTS,PMC0,67925
L2_RQSTS_MISS,PMC1,16977
TABLE,Region T_Sist_Lin_Inexato_10,Group 1 Metric,L2CACHE,7
Metric,HWThread 3,
Runtime (RDTSC) [s],4.594361e-05,
Runtime unhalted [s],0.0002,
Clock [MHz],2382.0454,
CPI,1.5016,
L2 request rate,0.2244,
L2 miss rate,0.0561,
L2 miss ratio,0.2499,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i3-7100U CPU @ 2.40GHz,
CPU type:,Intel Kabylake processor,
CPU clock:,2.399170351 GHz,
TABLE,Region T_Newton_Padrao_32,Group 1 Raw,L2CACHE,5
Region Info,HWThread 3,
RDTSC Runtime [s],0.043992,
call count,1,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,15960040
CPU_CLK_UNHALTED_CORE,FIXC1,13588320
CPU_CLK_UNHALTED_REF,FIXC2,13615700
L2_TRANS_ALL_REQUESTS,PMC0,488847
L2_RQSTS_MISS,PMC1,122001
TABLE,Region T_Newton_Padrao_32,Group 1 Metric,L2CACHE,7
Metric,HWThread 3,
Runtime (RDTSC) [s],0.0440,
Runtime unhalted [s],0.0057,
Clock [MHz],2394.3458,
CPI,0.8514,
L2 request rate,0.0306,
L2 miss rate,0.0076,
L2 miss ratio,0.2496,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i3-7100U CPU @ 2.40GHz,
CPU type:,Intel Kabylake processor,
CPU clock:,2.399170351 GHz,
TABLE,Region Tderi_grad_Padrao_32,Group 1 Raw,L2CACHE,5
Region Info,HWThread 3,
RDTSC Runtime [s],0.000138,
call count,50,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,570673
CPU_CLK_UNHALTED_CORE,FIXC1,707967
CPU_CLK_UNHALTED_REF,FIXC2,710600
L2_TRANS_ALL_REQUESTS,PMC0,64220
L2_RQSTS_MISS,PMC1,15326
TABLE,Region Tderi_grad_Padrao_32,Group 1 Metric,L2CACHE,7
