Region Info,HWThread 3,
RDTSC Runtime [s],0.000045,
call count,50,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,309896
CPU_CLK_UNHALTED_CORE,FIXC1,436946
CPU_CLK_UNHALTED_REF,FIXC2,436000
L2_LINES_IN_ALL,PMC0,12566
L2_TRANS_L2_WB,PMC1,1113
TABLE,Region Tderi_grad_Inexato_10,Group 1 Metric,L3,10
Metric,HWThread 3,
Runtime (RDTSC) [s],4.544857e-05,
Runtime unhalted [s],0.0002,
Clock [MHz],2405.0278,
CPI,1.4100,
L3 load bandwidth [MBytes/s],17695.2542,
L3 load data volume [GBytes],0.0008,
L3 evict bandwidth [MBytes/s],1567.3100,
L3 evict data volume [GBytes],0.0001,
L3 bandwidth [MBytes/s],19262.5643,
L3 data volume [GBytes],0.0009,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i3-7100U CPU @ 2.40GHz,
CPU type:,Intel Kabylake processor,
CPU clock:,2.399820847 GHz,
TABLE,Region Tderi_hes_Inexato_10,Group 1 Raw,L3,5
Region Info,HWThread 3,
RDTSC Runtime [s],0.000405,
call count,50,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,1349782
CPU_CLK_UNHALTED_CORE,FIXC1,1297078
CPU_CLK_UNHALTED_REF,FIXC2,1301400
L2_LINES_IN_ALL,PMC0,12605
L2_TRANS_L2_WB,PMC1,1187
TABLE,Region Tderi_hes_Inexato_10,Group 1 Metric,L3,10
Metric,HWThread 3,
Runtime (RDTSC) [s],0.0004,
Runtime unhalted [s],0.0005,
Clock [MHz],2391.8509,
CPI,0.9610,
L3 load bandwidth [MBytes/s],1993.6320,
L3 load data volume [GBytes],0.0008,
L3 evict bandwidth [MBytes/s],187.7383,
L3 evict data volume [GBytes],0.0001,
L3 bandwidth [MBytes/s],2181.3703,
L3 data volume [GBytes],0.0009,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i3-7100U CPU @ 2.40GHz,
CPU type:,Intel Kabylake processor,
CPU clock:,2.399820847 GHz,
TABLE,Region T_Sist_Lin_Inexato_10,Group 1 Raw,L3,5
