NÃO OTIMIZADO; OTIMIZADO
1433.7566; 2634.4958
467.4514; 487.7127
265.2011; 243.6970
217.4093; 204.9768
153.9231; 153.2630
147.8034; 155.1443
151.5170; 150.5628
160.5514; 159.5518
160.5836; 159.9835
164.1900; 164.4428
173.3904; 173.6788
179.0330; 177.6536
181.3359; 180.9814
187.0656; 185.8935
188.1490; 185.6988
189.5884; 187.7496
190.6103; 188.3768
190.6360; 185.3260
189.6625; 188.6354
