NÃO OTIMIZADO; OTIMIZADO
120.5029; 171.2961
207.0645; 203.5537
215.2920; 218.3444
223.6230; 207.3119
215.7216; 217.1806
577.2875; 242.8557
3626.9206; 3325.5584
8125.6385; 8425.9008
8976.8245; 9142.2283
12027.5541; 11964.1568
16488.5867; 16833.8396
19651.9650; 19420.8675
20712.0766; 21447.3037
17098.0536; 19788.4221
16577.2452; 19952.8402
17087.8582; 17045.0218
17343.4153; 17475.3604
17816.8346; 17588.2042
18901.9373; 17194.0220
