NÃO OTIMIZADO; OTIMIZADO
18565.1146; 26834.7697
3997.1086; 4383.3523
1896.0754; 2155.8983
1746.0259; 1542.3668
912.4059; 897.7607
3663.4126; 842.7149
17223.3422; 16144.7541
30945.7530; 32693.8135
33195.1136; 34166.7843
38928.5547; 39317.4962
42557.3604; 44121.8793
43416.9506; 42330.4341
40296.3612; 42648.2482
22375.7075; 27111.2161
21334.3209; 27400.8201
19394.9694; 19312.1659
19667.6402; 19849.0810
19454.2114; 19167.3225
20240.8461; 18292.2856
