NÃO OTIMIZADO; OTIMIZADO
0.2187; 0.1836
0.2596; 0.2368
0.2537; 0.2355
0.1968; 0.1892
0.0457; 0.0460
0.0323; 0.0637
0.1845; 0.1538
0.1944; 0.1969
0.2009; 0.2011
0.2156; 0.2191
0.2289; 0.2308
0.2294; 0.2121
0.2330; 0.2335
0.2374; 0.2230
0.2340; 0.2166
0.2227; 0.2049
0.2188; 0.1980
0.2024; 0.1934
0.1953; 0.1860
