NÃO OTIMIZADO; OTIMIZADO
0.2183; 0.1925
0.2351; 0.1972
0.2548; 0.2366
0.2305; 0.1987
0.2616; 0.2762
0.2770; 0.2771
0.2798; 0.2884
0.2797; 0.2807
0.2801; 0.2810
0.2716; 0.2732
0.2636; 0.2647
0.2608; 0.2602
0.2584; 0.2599
0.2537; 0.2542
0.2531; 0.2544
0.2520; 0.2520
0.2517; 0.2537
0.2746; 0.2528
0.2965; 0.2514
