NÃO OTIMIZADO; OTIMIZADO
0.2116; 0.1781
0.2721; 0.2502
0.2679; 0.2550
0.2710; 0.2532
0.2773; 0.2883
0.2812; 0.2809
0.2784; 0.2764
0.2729; 0.2732
0.2696; 0.2731
0.2684; 0.2704
0.2604; 0.2643
0.2625; 0.2593
0.2587; 0.2562
0.2543; 0.2548
0.2545; 0.2534
0.2521; 0.2519
0.2519; 0.2518
0.2746; 0.2517
0.2547; 0.2514
